8,tt,0,ZuC
0,tt,0,zwU
1,tt,0,tsL
3,tt,0,fHG
5,tt,0,OZt
2,tt,0,ZjB
9,tt,0,CFZ
8,tt,0,NMO
6,tt,0,fDj
8,tt,0,LHK
0,tt,0,Ovr
1,tt,0,rKO
1,tt,0,fKg
7,tt,0,Zwq
7,tt,0,wSO
2,tt,0,bVx
8,tt,0,lbu
5,tt,0,tqU
7,tt,0,GAT
7,tt,0,Ugn
3,tt,0,gTJ
4,tt,0,JSU
7,tt,0,mlW
2,tt,0,BFI
3,tt,0,NzV
6,tt,0,sBm
2,tt,0,Uyo
9,tt,0,kpU
8,tt,0,boL
6,tt,0,fGO
9,tt,0,Kbx
7,tt,0,msR
5,tt,0,nkr
3,tt,0,vLD
5,tt,0,pZR
1,tt,0,hPC
7,tt,0,GEx
2,tt,0,xdq
0,tt,0,ZHR
8,tt,0,HoI
6,tt,0,OZM
4,tt,0,FqZ
4,tt,0,xFe
4,tt,0,Prq
4,tt,0,sZJ
1,tt,0,TmZ
5,tt,0,dxe
9,tt,0,VCN
5,tt,0,zpR
5,tt,0,qnq
1,tt,0,CDB
2,tt,0,ALR
8,tt,0,oOa
8,tt,0,MYW
3,tt,0,lLf
9,tt,0,qeV
3,tt,0,Rro
0,tt,0,jAS
9,tt,0,dvL
1,tt,0,kWo
2,tt,0,zZZ
6,tt,0,TAj
4,tt,0,WNp
2,tt,0,SRv
7,tt,0,nZF
7,tt,0,Awk
2,tt,0,oFj
1,tt,0,LvA
2,tt,0,uGW
5,tt,0,Cnf
9,tt,0,OAt
2,tt,0,RBA
4,tt,0,IJO
0,tt,0,LdQ
0,tt,0,xRT
8,tt,0,Nhd
3,tt,0,xWb
7,tt,0,mJH
8,tt,0,vcK
7,tt,0,ejA
6,tt,0,cTs
6,tt,0,ldL
3,tt,0,Nsg
9,tt,0,cmO
9,tt,0,sey
6,tt,0,jwe
1,tt,0,QVy
2,tt,0,EJp
6,tt,0,MSP
8,tt,0,CWu
2,tt,0,jXn
2,tt,0,Abx
0,tt,0,tDr
4,tt,0,QDF
8,tt,0,EeR
1,tt,0,MCk
2,tt,0,vqi
6,tt,0,foK
0,tt,0,DsH
1,tt,0,LIk
7,tt,0,fiy
6,tt,0,QcB
9,tt,0,SQk
0,tt,0,ixi
3,tt,0,ONn
5,tt,0,AFX
9,tt,0,fEp
7,tt,0,VHy
6,tt,0,oVd
5,tt,0,xKP
6,tt,0,eCB
3,tt,0,YDq
7,tt,0,IPV
2,tt,0,vIY
0,tt,0,Tty
7,tt,0,yDE
3,tt,0,BjH
1,tt,0,ByJ
1,tt,0,oxT
1,tt,0,Kyt
8,tt,0,hKk
8,tt,0,dVT
2,tt,0,eLu
6,tt,0,IVc
9,tt,0,mdy
3,tt,0,ZKm
8,tt,0,XBx
0,tt,0,vWJ
0,tt,0,qJi
8,tt,0,hRR
2,tt,0,LkK
0,tt,0,UZs
0,tt,0,faB
4,tt,0,OhO
9,tt,0,pUo
5,tt,0,DtM
5,tt,0,gxy
3,tt,0,vei
4,tt,0,Hlu
0,tt,0,cKC
5,tt,0,XCg
9,tt,0,drS
0,tt,0,xuZ
9,tt,0,Kou
6,tt,0,vbF
5,tt,0,BJs
7,tt,0,Sjb
8,tt,0,vPE
0,tt,0,rtg
6,tt,0,Vqr
6,tt,0,VXd
2,tt,0,GKG
